"Year","Código","Departamento","Municipio","Categorías","Dotaciones Iniciales","Ciudad capital","Dependencia de las Transferencias","Calificación Dependencia de las Transferencias","Relevancia FBK fijo","Calificación Relevancia FBK fijo","Endeudamiento (Total)","Calificación Endeudamiento Total","Ahorro Corriente","Calificación Ahorro Corriente","Balance Primario","Calificación Balance Primario","Resultados","Calificación Resultados","Holgura","Calificación Holgura","Capacidad de programación y recaudo de ingresos","Calificación capacidad de programación y recaudo de Ingresos","Capacidad de Ejecución de Inversión","Calificación Capacidad de Ejecución de Inversión","Bonificación Esfuerzo Propio","Bono Catastro","Gestión","Gestión +Bonos","Calificación Gestión","Nuevo IDF (sin bonos)","Nuevo IDF","Rango","Municipio_PDET","Codigo.x","Codigo.y"
2020,"05001","ANTIOQUIA","MEDELLIN","E","C",0,30.5261286755118,69.4738713244882,20.7891047649714,86.1060031279216,29.6071468596425,70.3928531403575,63.9418800731411,80,14.2496248369011,60,73.1945455185535,58.5556364148428,10.0339404199685,100,94.1188728919639,100,97.292367802709,100,0,2,100,102,20,78.5556364148428,78.5556364148428,"4. Solvente (>=70 y <80)",0,"ESPECIAL","ESPECIAL"
2020,"05002","ANTIOQUIA","ABEJORRAL","6","G4",0,65.5007789594521,34.4992210405479,21.4782066473321,34.867117880755,21.0631660516229,78.9368339483771,44.1249597615842,50,23.4370144522727,20,43.660634573936,34.9285076591488,18.5357623271051,80.621205726405,137.814663191065,60,96.3413756431114,100,0,0,80.2070685754683,80.2070685754683,16.0414137150937,50.9699213742425,50.9699213742425,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05004","ANTIOQUIA","ABRIAQUI","6","G3",0,65.7410076581135,34.2589923418865,26.0713757698371,44.7445405050728,31.6413697623733,68.3586302376267,22.1019933661225,30,25.419091761401,20,39.4724326169172,31.5779460935338,17.4743433286653,76.0045690904248,108.934562157975,100,84.8518675913569,80,0,0,85.3348563634749,85.3348563634749,17.066971272695,48.6449173662288,48.6449173662288,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05021","ANTIOQUIA","ALEJANDRIA","6","G2",0,56.3022308399426,43.6977691600574,21.419553863013,25.4737312213341,27.598793954386,72.4012060456139,26.0079789413548,40,32.8387368348299,0,36.3145412854011,29.0516330283209,0,0,120.156889987837,70,90.5368625436793,100,0,0,56.6666666666667,56.6666666666667,11.3333333333333,40.3849663616542,40.3849663616542,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05030","ANTIOQUIA","AMAGA","6","G2",0,46.0899743909046,53.9100256090954,13.7103024965196,16.3053144333977,11.747377269568,88.252622730432,59.4515567344549,80,32.5832191980719,0,47.693592554585,38.154874043668,32.2445947309736,100,128.875958213772,70,92.7596318481421,100,0.163763404293963,0,90,90.163763404294,18.0327526808588,56.154874043668,56.1876267245268,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05031","ANTIOQUIA","AMALFI","6","G2",0,64.7374822583769,35.2625177416231,19.6890613852277,23.415700482619,28.526855480039,71.473144519961,14.5409611642019,20,13.9163688813935,60,42.0302725488406,33.6242180390725,0,0,123.384779607386,70,93.6804538090296,100,0,0,56.6666666666667,56.6666666666667,11.3333333333333,44.9575513724058,44.9575513724058,"2. Riesgo (>=40 y <60)",1,"ESPECIAL","ESPECIAL"
2020,"05034","ANTIOQUIA","ANDES","6","G2",0,62.4473519000801,37.5526480999199,12.5570632320515,14.9337962755113,46.6487414240533,53.3512585759467,47.187541134816,70,15.0299267866092,40,43.1675405902756,34.5340324722205,20.5768759042764,89.4990190427448,115.92001234791,80,95.4838343862927,100,0.252584619911089,0,89.8330063475816,90.0855909674927,18.0171181934985,52.5006337417368,52.551150665719,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05036","ANTIOQUIA","ANGELOPOLIS","6","G2",0,68.1487458866337,31.8512541133663,24.1515203492386,28.7227895547094,11.589322402183,88.410677597817,46.0556108467289,70,30.4283761165561,0,43.7969442531786,35.0375554025428,0,0,119.302059551784,80,97.0803176918774,100,0,0,60,60,12,47.0375554025428,47.0375554025428,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05038","ANTIOQUIA","ANGOSTURA","6","G3",0,72.8333624698074,27.1666375301926,32.8648446985535,56.4037121703664,21.5921030703872,78.4078969296128,28.6668267592445,40,14.0885866310845,60,52.3956493260344,41.9165194608275,12.5228769439522,54.4681907637786,140.592149207912,50,90.3995015972678,100,0.144126122075537,0,68.1560635879262,68.3001897100017,13.6600379420003,55.5477321784127,55.5765574028278,"2. Riesgo (>=40 y <60)",0,"ESPECIAL","ESPECIAL"
2020,"05040","ANTIOQUIA","ANORI","6","G4",0,61.9056557902083,38.0943442097917,20.9088941597717,33.9429119663277,11.9361042828255,88.0638957171745,49.2289798683939,70,-12.8606784954432,60,58.0202303786588,46.416184302927,23.8013612627403,100,202.199966310183,0,90.2931899059658,100,0.162262957142357,0,66.6666666666667,66.828929623809,13.3657859247618,59.7495176362604,59.7819702276888,"2. Riesgo (>=40 y <60)",1,"ESPECIAL","ESPECIAL"
